1,2725
2,170
3,24
4,1220
5,40
6,13
7,3157
8,179
9,37
10,20039
11,1283
12,160
13,56695
14,3648
15,445
16,104627
17,6497
18,870
19,78040
20,2451
21,25032
22,832
23,8108
24,279
25,1017
26,20
27,3672
28,123
29,7964
30,446
31,36
32,8619
33,519
34,45
35,7595
36,130
37,1099
38,21
39,2283
40,45
41,21212
42,2247
43,7081
44,457
45,37
46,14248
47,470
48,16475
49,484
50,1492
51,51
52,3610
53,71
54,8298
55,272
56,3529
57,113
58,3400
59,60
60,8042
61,533
62,34
63,2660
64,194
65,18
66,1226
67,79
68,5
69,6996
70,436
71,40
72,2290
73,285
74,4540
75,279
76,26
77,2192
78,66
79,3753
80,126
81,2085
82,65
83,8
84,1134
85,583
86,1474
87,60
88,270
89,10
90,2855
91,62
92,5135
93,306
94,20
95,380
96,22081
97,678
98,9547
99,301
100,2047
101,58
102,3346
103,50
104,1771
105,58
106,97
107,83
108,113
109,1197
110,35
111,2239
112,97
113,44
114,665
115,67
116,4952
117,165
118,8032
119,307
120,7412
121,117
122,762
123,655
124,1538
125,291
126,403
127,2836
128,1337
129,16580
130,14
131,37
132,0
133,23600
134,56
135,30
136,33
137,34
138,507
139,15
140,524
141,7
142,65
143,139
144,0
145,0
146,0
147,1190
148,86
149,50
150,0
151,0
